("a" 70
 ((2 20 44 NIL NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL 3 30 NIL NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL 22 NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)))
("b" 60
 ((2 NIL 4 NIL 6 NIL 8 NIL 10 NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL 3 NIL 5 NIL 7 NIL 9 NIL 10) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)))
("c" 270
 ((1 12 3 23 NIL 88 NIL NIL NIL NIL) (21 45 43 NIL NIL NIL NIL NIL NIL NIL)
  (NIL 56 NIL 78 NIL NIL NIL NIL NIL NIL) (89 NIL 99 54 NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)))
("d" 600
 ((98 97 96 95 94 93 92 91 90 89) (1 2 3 4 5 55 6 7 8 9)
  (NIL 66 NIL NIL NIL NIL NIL NIL NIL 11) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL 22 NIL NIL NIL NIL NIL 33 NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL 88 NIL NIL NIL 44 NIL NIL) (NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
  (NIL NIL NIL NIL 77 NIL NIL NIL NIL NIL) (NIL NIL NIL NIL NIL NIL 99 NIL NIL NIL)))
("e" 300
 ((NIL 5 NIL NIL NIL 15 NIL NIL NIL 25) (NIL NIL NIL 6 NIL NIL NIL 16 NIL NIL)
  (NIL 4 NIL NIL NIL 14 NIL NIL NIL 24) (NIL NIL NIL 7 NIL NIL NIL 17 NIL NIL)
  (NIL 3 NIL NIL NIL 13 NIL NIL NIL 23) (NIL NIL NIL 8 NIL NIL NIL 18 NIL NIL)
  (NIL 2 NIL NIL NIL 12 NIL NIL NIL 22) (NIL NIL NIL 9 NIL NIL NIL 19 NIL NIL)
  (NIL 1 NIL NIL NIL 11 NIL NIL NIL 21) (NIL NIL NIL 10 NIL NIL NIL 20 NIL NIL)))
("f" 2000
 ((80 60 46 8 70 89 2 25 72 44) (96 71 57 9 35 49 10 31 76 78)
  (61 91 40 6 0 62 26 84 43 39) (7 37 55 74 15 98 59 86 29 17)
  (24 11 48 14 58 66 13 88 23 12) (99 33 90 16 63 85 47 97 65 45)
  (50 22 3 18 36 42 21 87 27 52) (94 69 53 1 68 30 77 32 41 19)
  (4 67 92 54 5 51 95 28 56 64) (20 81 73 38 93 82 83 79 34 75)))
